,precision,recall,f1-score,support
allergy,0.925531914893617,0.554140127388535,0.6932270916334662,157.0
asthma,0.9909604519774011,0.9965909090909091,0.9937677053824363,880.0
bronchitis,1.0,0.3333333333333333,0.5,48.0
common_cold,0.9636363636363636,1.0,0.9814814814814815,1643.0
covid19,1.0,0.3717948717948718,0.5420560747663552,78.0
influenza,1.0,1.0,1.0,634.0
pneumonia,0.9486866218692731,0.9993564993564994,0.9733625822626137,1554.0
tuberculosis,0.0,0.0,0.0,6.0
accuracy,0.9678,0.9678,0.9678,0.9678
macro avg,0.8536019190470818,0.6569019676205186,0.7104868669407941,5000.0
weighted avg,0.9669734528435614,0.9678,0.9617624269729899,5000.0
