,precision,recall,f1-score,support
allergy,0.0,0.0,0.0,157.0
asthma,0.5324675324675324,0.23295454545454544,0.32411067193675885,880.0
bronchitis,0.0,0.0,0.0,48.0
common_cold,0.5635103926096998,0.7425441265976872,0.6407563025210085,1643.0
covid19,0.0,0.0,0.0,78.0
influenza,0.590443686006826,0.27287066246056785,0.3732470334412083,634.0
pneumonia,0.47844228094575797,0.6640926640926641,0.5561843168957153,1554.0
tuberculosis,0.0,0.0,0.0,6.0
accuracy,0.526,0.526,0.526,0.526
macro avg,0.27060798650372697,0.23905774982568306,0.23678729059933637,5000.0
weighted avg,0.5024519210294403,0.526,0.48778580880080646,5000.0
